成都质监,#权威发布#【30886辆奔奔汽车被召回[喵喵]】重庆长安汽车股份有限公司自2015年12月26日起，召回2006年9月8日至2010年12月25日生产的长安奔奔汽车共30886辆。本次召回车辆转向柱内部线路在长期使用后可能出现异常磨损，极端情况下会导致车辆转向助力下降，转向沉重，存在安全隐患。 ​,0,0,1,2015-12-30 10:01:56,https://weibo.cn/comment/DaMjD2BJa?uid=3681923715&rl=1#cmtfrm,重庆长安汽车股份,,,
铜陵市工商行政管理局,【重庆长安汽车股份有限公司召回部分奔奔汽车】日前，重庆长安汽车股份有限公司根据《缺陷汽车产品召回管理条例》的要求，向国家质检总局备案了召回计划，决定自2015年12月26日起，召回2006年9月8日至2010年12月25日（含）生产的长安奔奔（奔奔I、奔奔Love）汽车，共计30886辆。http://t.cn/R45lRPd ​,0,1,2,2015-12-28 08:29:34,https://weibo.cn/comment/DasR93DH5?uid=2670824782&rl=1#cmtfrm,重庆长安汽车股份,,,
四川发布,【三万多辆奔奔汽车被召回[酷]】#四川服务#明天起，重庆长安汽车股份有限公司将召回2006年9月9日至2010年12月25日(含)生产的长安奔奔(奔奔I、奔奔Love)汽车，共计30886辆。问题涉及部分车辆转向柱内部线路在长期使用后或出现异常磨损，可能导致车辆转向助力下降，存在安全隐患。扩散周知！@央视新闻  ​,6,3,8,2015-12-25 22:20:02,https://weibo.cn/comment/Da60KmqfN?uid=1905843503&rl=1#cmtfrm,重庆长安汽车股份,,,,@央视新闻
浙江质监,#召回信息#【重庆长安汽车股份有限公司召回部分汽车】重庆长安汽车股份有限公司决定自3月31日起，召回部分汽车（具体召回情况见附图），由于供应商生产批次的原因，本次召回范围内车辆的冷却液抗氧化能力不足，可能引起冷却性能下降，会影响冷却系统的效果，极端情况可能造成水温升高，存在安全隐患。 ​,2,0,7,2015-03-30 16:43:22,https://weibo.cn/comment/CaXSls8J4?uid=3277093747&rl=1#cmtfrm,重庆长安汽车股份,,,
彬县党务公开官方微博,[浮云]按照电力行业工作规范要求，彬县电力公司决定4月21-28日对城区及炭店镇部分乡村10KV供电线路进行检修。详情点击：http://t.cn/RAOM3Uf ​,0,0,1,2015-04-20 09:38:53,https://weibo.cn/comment/Ce74taGGm?uid=2376033070&rl=1#cmtfrm,彬县电力,,,
哈尔滨环保,【方正县城镇污水处理厂完成督办整改要求】12月9日，由省环境监察局、市环保局、水污染防治处、市支队、重点污染源防控中心的领导专家组成检查小组，对方正县城镇污水处理厂关于省环保厅挂牌督办的七项整改要求逐一进行核查。http://t.cn/R4zC2YJ ​,0,0,0,2015-12-11 14:28:49,https://weibo.cn/comment/D7UWwjzGC?uid=3864620699&rl=1#cmtfrm,方正县污水处理厂,,,
海宁环保,为做好秸秆禁烧工作、推动雾霾防治，我市积极探索秸秆的无害化和资源化利用。本月，嘉兴新嘉爱斯热电有限公司与我市达成了收购2万吨秸杆的意向，该项收购可有效带动农民散户收集秸秆的积极性。收购方要求秸秆含水率须小于30%，基准收购价格为300元/吨，根据秸秆破碎、烘干等加工情况进行收购价格调整。 ​,2,2,3,2015-10-22 16:30:02,https://weibo.cn/comment/D0kmTqJxj?uid=2062594785&rl=1#cmtfrm,嘉兴新嘉爱斯热电,,,
浙江环保,【废弃秸秆能发亿度电】9月30日傍晚，随着一捆捆秸秆进入焚烧炉，发电机组启动运作，嘉兴新嘉爱斯热电有限公司的农业废弃物焚烧综合利用发电项目正式并网发电。这是我省首个完全利用农作物秸秆焚烧发电的项目。 http://t.cn/RyTn3Sa ​,2,0,0,2015-10-07 10:05:25,https://weibo.cn/comment/CDXTEso5P?uid=3840731341&rl=1#cmtfrm,嘉兴新嘉爱斯热电,,,
镇江市政府12345热线,3、8:00-15:00 镇江四达化学有限公司、江苏鼎盛化工有限公司、江苏耘农化工有限公司、镇江华科生态电镀科技发展有限公司；659线：镇江华科生态电镀科技发展有限公司； ​,1,1,1,2015-11-04 11:39:17,https://weibo.cn/comment/D2h1kCxix?uid=2310273574&rl=1#cmtfrm,镇江华科生态电镀科技发展,,,
镇江市政府12345热线,2、8:00-15:00 新区丽蝶服装厂、镇江长兴酒精有限公司、镇江新区大港路灯管理所、镇江建苏农药化工有限公司、镇江华科生态电镀科技发展有限公司、方泉村、粮山、孩溪村委会、镇江德成化学有限公司； ​,0,0,0,2015-11-04 11:38:59,https://weibo.cn/comment/D2h1diUzi?uid=2310273574&rl=1#cmtfrm,镇江华科生态电镀科技发展,,,
镇江市政府12345热线,7、08:00-17: 30 镇江华科生态电镀科技发展有限公司。 ​,0,0,0,2015-09-24 11:39:14,https://weibo.cn/comment/CBZXhhxHz?uid=2310273574&rl=1#cmtfrm,镇江华科生态电镀科技发展,,,
镇江市政府12345热线,5、下于村南、于北村上下于、于北村后湾、于北村营房、陈家庄南、于北村小村、陈家庄；660线：镇江新区大港路灯管理所、镇江长兴酒精有限公司、新区丽蝶服装厂、镇江建苏农药化工有限公司、镇江华科生态电镀科技发展有限公司、粮山、方泉村、孩溪村委会；658线：镇江德成化学有限公司 ​,1,0,0,2015-09-23 11:22:56,https://weibo.cn/comment/CBQqazkQt?uid=2310273574&rl=1#cmtfrm,镇江华科生态电镀科技发展,,,
环保海口,#第四季度危险废物规范化管理#【市环保局配合省生态环保厅开展第四季度危险废物规范化管理检查】12月9日，市环保局配合省生态环保厅开展第四季度危险废物规范化管理检查，共检查了一汽海马汽车有限公司、海南海宇锡板工业有限公司等6家企业。详情： 市环保局配合省生态环保厅开展第四季度危险废物规范化管理检查 ​,0,0,0,2015-12-10 09:02:48,https://weibo.cn/comment/D7JnHs7RO?uid=3244768924&rl=1#cmtfrm,海南海宇锡板工业,,,
环保海口,#环保动态# 为推进我市国家重点监控企业自行监测及信息公开工作，10月24日下午，市环保局召集海南英利新能源有限公司、海南威立雅水务有限公司、海南海宇锡板工业有限公司、长丰水务投资有限公司等9家国控企业相关负责人参加了工作推进会。详情： 市环保局召开国控企业自行监测工作推进会 ​,0,0,0,2015-10-26 10:22:32,https://weibo.cn/comment/D0TFIeIl7?uid=3244768924&rl=1#cmtfrm,海南海宇锡板工业,,,
北仑环保,【关于开展VOCS调查培训】7月14日，市局就全市开展VOCS调查有关业务事项进行了培训，我局组织了包括浙江逸盛石化有限公司，宁波海越新材料有限公司等重点排放企业参加了培训。培训会上，市局针对开展VOCS调查有关业务事项进行了说明。（W） ​,0,0,0,2015-07-15 09:44:47,https://weibo.cn/comment/CrbRzg8tv?uid=3467002260&rl=1#cmtfrm,浙江逸盛石化,,,
上海崇明,【上海市消防总队船舶实训基地落户上海船厂】#崇明新闻#近日，上海市消防总队船舶实训基地在上海船厂船舶有限公司正式挂牌，同时启动船舶实训基地二期工程建设。上海市消防总队船舶专业队创新训练模式提升消防能力。 ​,1,0,1,2015-11-30 13:08:11,https://weibo.cn/comment/D6eIkpnVn?uid=2701679922&rl=1#cmtfrm,上海船厂船舶,,,
亳州发布,#微播亳州#【我市6家企业筹备主板上市[话筒]】我市目前仅有安徽古井贡酒股份有限公司1家上市企业，通过几年努力，已经有6家企业与券商等中介服务机构签订了上市服务协议，正积极筹备主板上市。 ​,2,1,3,2015-04-10 10:10:27,https://weibo.cn/comment/CcB0jyHkS?uid=3442980450&rl=1#cmtfrm,安徽古井贡酒股份,,,
淄博高新区环保局,高新区启动了重污染天气Ⅲ级应急响应，第一时间下达指令，要求高新区大气重污应急指挥部各成员单位启动重污染天气Ⅲ级响应。及时通知督导了高新区淄博热电、傅山热电、开泰电厂、环保能源4家电厂实施限产减排。 ​,0,0,0,2015-12-03 13:41:14,https://weibo.cn/comment/D6HdevFNA?uid=5299937801&rl=1#cmtfrm,淄博环保能源,,,
山东环境,"【治霾，从态度到制度】与前几年相比，各地对治污的表述正从态度、措施，向建立机制深化。如，淄博提出加大环保公安一体化执法力度，强化基层监管力量；烟台提出完善能源管理体系和能耗量交易机制；青岛提出在大沽河流域开展水环境质量生态补偿试点，开展排污权交易试点等。治霾,从态度到制度 ​",3,10,31,2015-04-19 07:32:59,https://weibo.cn/comment/CdWOS1Z8Y?uid=3354394424&rl=1#cmtfrm,淄博环保能源,,,
淄博环保,淄博市在环境容量有限的情况下，通过环保手段调结构，着力把新能源与节能环保产业培育成为新的支柱产业，为经济发展腾出空间。今后，我市将发挥装备制造业优势，大力发展再生能源装备、新能源汽车、风电装备配套、核电装备及空气污染防治、水污染防治、固体废弃物处理等环保产品及装备。@山东环境 ​,0,0,1,2015-01-05 10:54:35,https://weibo.cn/comment/BE79nsXFv?uid=3114085181&rl=1#cmtfrm,淄博环保能源,,,,@山东环境
天津环保发布,#工作动态#区县服务组对宁河区玖龙纸业开展应急措施落实情况检查。该单位储煤堆场为全封闭堆场，并已启动应急响应预案，五台造纸机停产一台，厂区内加大洒水抑尘力度。#清新空气我们在行动# ​,1,3,1,2015-11-03 10:57:16,https://weibo.cn/comment/D27jMyzYs?uid=3250739191&rl=1#cmtfrm,玖龙纸业（天津）,,,
镇海环保,【环保夜查不停[奥特曼]】区环境监察大队近日开展夜间执法，先后检查宁波华业钢结构有限公司、宁波加金织染有限责任公司、宁波海德针织漂染有限公司。华业钢结构未见异常，海德针织漂染停产中，加金织染废水排放口取水样一瓶。区环境监察大队将继续加强辖区企业排查力度，依法严查违法行为。 ​,0,1,2,2015-09-23 17:13:14,https://weibo.cn/comment/CBSIm1N5b?uid=2763420934&rl=1#cmtfrm,宁波海德针织漂染,,,
镇海环保,【检查印染企业废水治理】29日周日，@镇海环保 执法人员对宁波加金织染有限责任公司、宁波海德针织漂染有限公司、宁波振华毛纺织染整有限责任公司进行检查。检查时三家企业正在生产，废水处理设施运行正常。执法人员现场取水样并带回检测，将根据检测结果处理。本月有3家次印染企业受到环保行政处罚。 ​,1,0,0,2015-04-01 15:34:45,https://weibo.cn/comment/Cbghu0Xcb?uid=2763420934&rl=1#cmtfrm,宁波海德针织漂染,,,,@镇海环保
镇海环保,【环保部公布2015年国家重点监控企业名单 镇海3家】纳入名单的宁波企业共有20家，其中镇海3家：海德针织漂染、乐金甬兴、镇海炼化。全省共有780家企业纳入国家重点监控企业名单，其中废水排放295家、废气排放81家、污水处理厂213家、重金属排放60家、危险废物产生及处置131家。http://t.cn/RZCyH9K ​,0,2,1,2015-01-16 11:42:34,https://weibo.cn/comment/BFNajAzet?uid=2763420934&rl=1#cmtfrm,宁波海德针织漂染,,,
